c1,c2
spam,फुटबल कप हेर्नलाई दुई हप्तका लागि फ्रि इन्ट्री टिकट जितनुस्  ।
ham,सर कता ब्यसत हो तपाईको पेपर अशोकको मा छ।
ham,किन मेरो हजुर अलिकति खाना खनुस कृपया।
ham,किर्तिपुर मार्केटमा छु।
ham,दाई भोलि १२ बजे कार्यक्रम छअरू दाईहरूलाई पानि इनफर्म गरनु है।
spam,चिसो चिसो अफर योसुडा फ्रिज गर्नुहोस स्क्रच कुपन स्क्रच गरि उपहार जितनुहोस् । टोल फ्रि नम्बर १६००९२०००३
spam,कतारको पाँच तारे होटलमा रोजगारको लागि सुर्वण अवसर इच्छुक व्यक्तिहरुले सकल राहदानी र आफ्नो वायोडाटा सहित यथाशिघ्र सम्पर्क राख्नुहोस् । फोन नम्बर ४३३५८७२४३२३४१२
spam,यौन शक्ति बढाउनका लागि यौन बर्धक औषधि उपलबध छशिघ्र सम्पर्क गर्नुहोला।
ham,गुरू आज टुरको काम गर्नु छभोलि विदा भएकोले भोलि लेटर दिस्ट्रिबियुट गर है।
ham,यति राम्रो लाग्नु तपाईको लागि राम्रो छैन।
ham,सर म आजको क्लास नलिने ।
ham,तपाई अहिले काहाँ हुनुहुन्छ ।
ham,अभि अनलाईन भएर पनि किन नबोलेकोकृपया डकोमेन्ट पठाउन् ।
ham,यो छठ पर्व के अवसर पर आपको बहुत बहुत शुभकमना ।
ham,चिया खान किन नआउनु भएको हो आज।
ham,म आज खाना खान आउँदिन।
spam,तीन वटा फ्रि SMS आफ्नो गर्ल फ्रेन्डलाई पठाउनुस् ।
spam,प्रिय ग्राहकतपाई रू 5000 ले पुरूस्कृत हुनुभएछ फोन न. 5254524 मा तुरून्त कौल गर्नुस ।
spam,प्रिय ग्राहक  मिस कौल नोटिफिकेसका लागि तपाईको खाताबाट ३ रूपैया कटौति गरेको छ ।
ham,हजुरले मलाई फोन गरनुस।
ham,जन्मदिनको शुभकमना छ।
ham,भोलि ल्याब गराउनु सेभेन सेमेष्टरको अलि ल्याब तयारि गरनु कुन सफटवेयर चाहिन्छकृपया मलाई जनकारी दिनु।
spam,प्रेमरोजगार आदि कुनै पनि समस्याको ज्योतिषीय समधानको लागि शिघ्र सम्पर्क राखनु। प्रत्येक बयक्ति पाचँ सय मात्र।
ham,कति ब्यसत हो राति रातिघोर शंका।
ham,म सुन्धरामा तपाईलाई र्पखिरहेको छु ।
spam,तल दिएको वेबसाइटमा रजिसटेशन गारि अमेरिकामा बस्नका लागि ग्रिन कार्ड पाउनुहोस् ।
ham,लोक सेवा आयोग ले कमप्युटर अपररेटर को लागि दरखास्त आवहन गारेको छ । यसको १५ दिन को म्याद छ।
ham,सर बधाई छहामीहरू ग्राण्ड पार्टिका लागि पर्खिरहेछु।
spam,बधाई छ एक वर्षको सपेस्ल सिनेमा पास पाउनु भएकोमा कौल 5246248 । 
ham,सौरि सर आज को मिटीङ्ग अटेनड गरन सक्दैन् आज अन्तै जानु पर्छ ।
ham,भोलि हाम्रो साथिको बिहेमा जानु छ म तीन दिन सम्म कलास आउदिन् ।
spam,अब नो चिन्ता ग्यारेनटिका साथ यस बर्ष स्नातक पढन पाइने सम्पर्क फोन नम्बर ९८०५३७४४३
spam,टोल फ्री नम्बर १२३ मा कौल गर्नुस र आफनो मन पसन्दको कौलर टियुन पाउनुस् ।
ham,सम्झिरहेछु अब मान्छे अलि ब्यस्त हुनुभो शुभरात्रि।
ham,तपाई घर कहिले आउनुहुन्छ ।
ham,म आउछु तिम्रो कोठामा पाँच मिनटमा ढोका खोल।
spam,अनुहारको कालो कोठी सरल तरिकाबाट ग्यारेन्टीका साथ उपचार गरिन्छ । उपचार नभए पैसा फिर्ता । सम्पर्क नम्बर ९८४२१२७३२२
spam,*९९९९# मा डाएल गरी मनपसन्दको जोक्स फनि एसएमएस पाउनुहोस् । प्रत्येक एसएमएसको चार्ज २५ पैसा मात्र ।
ham,सर आज को क्लासमा म आउन भयाउदिन् आज मेरो घरमा बहुत जरूरि काम परयो ।
ham,हामि हजुर जस्तो मतलबि होइन आफ्नो ठाउँमा अरू कसैलाई देख्दा डराउने मान्छे परेन कया रे।
ham,आज ३ बजे कम्पुटर एसोसियसनका विधार्थीहरूको भेला  छ है।
spam,नयाँ सालमा एनसेलले नयाँ योजनाका साथ३जी को डाटा कार्ड ५ जीबी डाटा कार्ड फ्रिमा।
spam,यौन शक्ति बढाउनका लागि तुरून्त सम्पर्क गर्नुस।
ham,नेपाल टेलिकमले आई टि अफिसर पद का लागि दरखास्त आवहन गारेको छ।
ham,मामा म पास भए।
spam,बधाई छ तपाईलारू 1000 को पुरूस्कार जितनुभएछकौल नम्बर 512483 ।
ham,सबै बिधार्थी भाइवहिनीहरुलाई कमप्युटर केन्द्रिय बिभागमा भोलि १० बजे आउनका लागि हार्दिक अनुरोध गरिन्छ ।
ham,दाई सौरि हैमलाई अर्को मान्छे जस्तो लागेर हो।
ham,अस्ती तिमीले भनेको किताबको सौफ्ट कपि अहिले नै पठाउ है।
spam,5252 मा SMS गरि रू20 को एक महिनाको लागि मनपसनद को रिङटोन पाउनुस ।
spam,१४२४ मा डाएल गरी अमेरिकामा सस्तो दरमा फोन गरनुहोस् ।
spam,पनपसन्दको गीत सुन्नका लागि ५६२६ डाएल गरी आफ्नो मनपसन्दको गीत सुन्नुस।
spam,A टाइप गरी ९९०३ मा एसएमएस पठाउनुहोस् अनि २०० रुपैया मा मासिक ५०० वटा एसएमएस पाउनुहोस् ।
ham,म तिमीलाई भेटन चाहन्छुतिमी कुन दिन फ्रि हो।
ham,रूममा छु आज क्यामपस गएन् ।
ham,म आज बानेशवर देखि हिडेर र्कितीपुर आए ।
spam,टोल फ्री नम्बर १२३ मा कौल गरि नि:शुल्क कम्पुयटर कलास ब्रज कोर्स मेमोरि कलास ।
spam,मेरो मोबाइबाट मेरो मोबाइल मा फ्रि फोन गरनका लागि 5555 मा एसएमएस गरनुस् ।
ham,आज न्यु रोड जाने त ।
ham,शुभ यात्रा छ तपाई लाई हजुर ।
ham,म जेलमा छुजस्तो लागिरहेछ । कहिले छुटने हो थाहा छैन्।
ham,सरअलिकति महत्वपूर्ण छसम्भव छ भने भोलि हलिकति समय मिलाउनुस्म भोलि थेसिस बुझाउदै छु।
ham,मलाई तिम्रो सम्पर्क नं. पठाउनु।
ham,तिमी काहाँ छौ ?
spam,सुर्वण अवसर जपानमा जपानमा कमाउदै पढदै कमाउदै पढदै गरौ । सम्पर्क नम्बर ९८४१४३५२३६
ham,मेरो त टेनसनले झन वजन घटदै छतर रमइलो छ। अचेल गाउँमा छुतिम्रो के छ।
ham,सौरि  त मलाई हेरेको थियन।
ham,शुक्रवार ४ बजे पाटन ढोकामा भेटौ।
ham,१२ बजे देखि क्रार्यक्रम छ आउनु है।
ham,फोन किन न गरनु भएको हजुर सर ।
ham,मलाई भोलि १० बजे फोन गरम तिमिलाई काहाँ भेटौला भन्छु ।
spam,स्तन टाईट बनाउनु पर्दा २३४५२३मा सम्पर्क राखनु।
ham,काहाँ हो हजुर ।
ham,नयाँ जोसनयाँ जागरनयाँ उमंगनयाँ बर्षको स्वास्थय दिरघायुप्रगतिअनि समुधर सम्बन्धको शुभकमना।
spam,तु: अवश्कता एसएलसी दिएर बसेका लागि सुर्वण अवसर । तलब १५००० सम्पर्क फोन नम्बर ९८४१०४७३१२
ham,म अहिले आउदिन् मेरो धेरै काम गर्न बाँकि छ ।
ham,यो दिपाउलीमा मेरो कामना छ कि तपाईको सबै सपना पुरा होस र तपाई सफलताको उच्च स्थानमा पुगनु । 
ham,छिठो आउँम पर्खिरहेछु।
spam,एउटा मोबाइल किन्दा रु ५०० को रिचार्ज काड फ्रि मा पाउनुहोस्  यो योजना सिमित अवधिका लागि मात्र हो ।
ham,सर आज मेरो लागि आज कष्ट नउठाउनुहोला।
ham,हेलो के छतिम्रो खबर।
spam,अर्जेन्टतपाई युरो यात्राको लागि छाननुभएछ5252 मा SMS गरि आफ्नो टिकट गरान्टी गर्नुस 
ham,साथि आज फस्ट क्लास हुन्छ हैसुवर्न सर आउनु हुन हैअभिमनुको कार्ड डिजाइन गरेर ल्याउनु है।
ham,आज भेट हुन गारहो छम पछि कौल गर्छु।
ham,तिमी के गर्दै छौ आजभोलि ।
spam,जबका लागि शुर्वन अवसरमासिक रू २००००।
spam,एउटा नोकिया मोबाइल किन्दा सिमकार्ड फ्रिमा।
spam,5454 मा एसएमएस गरनुस र फ्री कौलर रिङ टोन पाउनुस् ।
ham,सर एक पेरिएड अगाडि आउनु भोलि।
ham,म तपाईलाई धेरै मिस गरिरहेको छु ।
ham,अभि खैत त दकोमेन्ट पठाएको ।
ham,माफ गरनुस हजुर जाहाँ गए पनि राम्रोसँग बसनुस ।
ham,खाना खानु होला म अलि ढिला आउछु।
ham,ज्वरो ठिक भो सर जी ।
ham,आउदै छु।
ham,ठिक छदु:ख नमानफेरि भोलि भेटौ।
ham,छठ र्पवको शुभकमन तपाई र तपाईको परिवारलाई ।
spam,099415287 मा फोन गरि आफुले जितेको पुरुसकारका लागि दाबी गरनुस् ।
spam,स्तन बढाउनु पर्दा शिघ्र सम्पर्क राखनु।
ham,किन हो भाई म त क्याम्पस जादैछु।
ham,ज्वरो सन्चो भयो हजुर ।
ham,नयाँ वर्ष २०६९ मा सफलताखुशियाराम्रो स्वास्थयको लागि शुभकमना।
ham,कहिले सुध्रिने हो मान्छे।
ham,प्यारे भैया ”रकछा बन्धन कि शुभकमना” म तपाईलाई धेरै मिस गरिरहेछुतपाई आफ्नो ख्याल गरनुहोला।
ham,सर बिदामा हुनुहुन्छवहाँले शुक्रवार कौल गर्नुहुन्छ।
spam,नेपाल टेलिकमको मोबाइल ग्राहकलाई बिषेश छुटकौल 5952543 ।
ham,शुभ दिपाउली सर ।
ham,धेरै जोरसित ज्वरो लागे छ ।
spam,कपाल झर्न रोक्न र पुन: उमार्न सम्पर्क फोन नम्बर ९८०५३७४४३ 
spam,यो रिङग टोन चुज गरनु भएको मा बधाई छ तपाईलाई ।
spam,अर्जेन्ट तपाईको मोबाइल नम्बर रू2000 को बोनस कौलले पुरूस्कृत भएछ ।
ham,क्लास सकेपछि मलाइ फोन गरनुस ।
spam,2424 मा SMS  गरि फिल्मको दुइटा टिकट जितनुस ।
spam,5555 मा SMS गरि फुटबल हेर्न टिकट पाउनुस ।
spam,काम नभए पैसा ग्यारण्टीका साथ फिर्ता।
ham,तपाई बिहे कहिले गरनु हुन्छ सर ।
ham,टि यु मा नयाँ विधार्थी भर्नाका लागि आवेदन फर्म खोल्या छ।
spam,अर्जेन्ट तपाई एक हप्ताका लागि फ्रि सदस्ता पाउनु भएछ ।
spam,कृपया हाम्रो ग्राहक सेन्टरमा 10-5 बजेको बीचमा कौल गरनुसगरान्टी रू 5000 जीतनुस् ।
ham,सर फोन किन फोन रिसिभनगरेकोके गरे मैले यस्तो। कति व्यस्त हुनु भो  कम्तिमा फोन त उठाउनु पर्छ।
ham,दाईभोलि दिपार्टमेन्टमा १२ बजे पछि भेटौ न। प्रोजेक्टको कुरा गरौ।
ham,मेरो शुभकमना छ तिमीलाई तिम्रो परिक्षा राम्रो सँग सकोस ।
ham,के छ खबर के गरदै होखाना खान आउनुस नै है।
ham,मेरो टाउको दुखिरहेको थियो त्यसैले फोन गरया थिए ।
ham,मलाई तिमीसंग प्यार कति छ कि मलाई थाहा छैन।
spam,तुरून्त लिनेलाई विशेष छुट।
spam,शुर्वण अवसरएभरेष्ट बैकंमा खाता खोल्दा ए टी म कार्ड फ्रिमा।
ham,छठ र दिपाउलीको शुभकमना छतिमी र तिम्रो परिवारलाई।
spam,तपाईको ब्यालेनस समैयमा रिचार्ज गर्नुस् ।
ham,दाई आज आउनु भोप छि कौल गरछु।
ham,म आउदै छु है।
ham,मेरो काम सक्किसक्यो ।
ham, मलाई कुर्नु पर्दैन ।
spam, सेवा सुचारु गर्नु भएकोमा धन्यवाद ।
ham, सबै जना ११ बजे आइपुग्नु है ।
spam, चैत्र ११ देखि सम्पुर्ण सेवा अवरुद्ध हुने जानकारी गरिन्छ । ई सेवा  
ham, खै कता हो देखिन त 
ham,बाटो मा आउदै छु ५ मिनेट कुर है ।

